Bedrift,Organisasjonsnummer,Offentlig,Lynpresentasjon,Workshop,ITxGalla,Leveranse,Policy,Faktura sendt?
BEKK CONSULTING AS,981566378,Nei,,,TRUE,,TRUE,
BERGEN NÆRINGSRÅD,961744776,Nei,TRUE,,,,TRUE,
BKK AS,976944801,Nei,,,,,TRUE,
BOUVET NORGE AS,996756246,Nei,,,,,TRUE,
CAPGEMINI NORGE AS,943574537,Nei,,,,,TRUE,
COMPUTAS AS,986352325,Nei,TRUE,,,,TRUE,
DIGITALISERINGSDIREKTORATET,991825827,Ja,,,,,TRUE,
DNB BANK ASA,984851006,Nei,TRUE,,TRUE,,TRUE,
DNV AS,945748931,Nei,TRUE,,,,TRUE,
EQUINOR ASA,923609016,Ja,TRUE,,,,TRUE,
ERNST & YOUNG AS,976389387,Nei,,,,,TRUE,
Frende Forsikring,991436960,Nei,TRUE,TRUE,TRUE,,TRUE,
INTILITY AS,981967070,Nei,,,,,TRUE,
JetBrains,511430303,Nei,,,,,TRUE,
KANTEGA AS,985815534,Nei,TRUE,TRUE,TRUE,,TRUE,
KNOWIT EXPERIENCE BERGEN AS,914727170,Nei,TRUE,,,,TRUE,
KS Digital,931796003,Nei,TRUE,,,,TRUE,
LERØY SEAFOOD GROUP ASA,975350940,Nei,,,,,TRUE,
NETCOMPANY NORWAY AS,881886472,Nei,TRUE,,,,TRUE,
NORDEA LIV FORSIKRING AS,959922659,Nei,,,,,TRUE,
NORGES BANK,937884117,Ja,,,TRUE,,TRUE,
NORGESGRUPPEN DATA AS,971047917,Nei,,,,,TRUE,
NORKART AS,934161181,Nei,TRUE,,,TRUE,TRUE,
SIKT - KUNNSKAPSSEKTORENS TJENESTELEVERANDØR,919477822,Ja,,,,,TRUE,
SKATTEETATEN,974761076,Ja,,,,,TRUE,
SOPRA STERIA AS,910909088,Nei,TRUE,,,,TRUE,
SPAREBANK 1 UTVIKLING DA,986401598,Nei,,,,,TRUE,
STACC AS,981078365,Nei,TRUE,,,,TRUE,
STARTUPLAB VESTLAND AS,935490588,Ja,,,,,TRUE,
STATENS VEGVESEN,971032081,Ja,TRUE,,,,TRUE,
STATNETT SF,962986633,Ja,TRUE,,,TRUE,TRUE,
STATSFORVALTERENS FELLESTJENESTER,921627009,Ja,TRUE,,,TRUE,TRUE,
TIETOEVRY NORWAY AS,933012867,Nei,TRUE,TRUE,TRUE,,TRUE,
TV 2 AS,979484534,Nei,TRUE,,,,TRUE,
TWODAY AS,990432368,Nei,TRUE,,TRUE,,TRUE,
UNI MICRO AS,925141623,Nei,TRUE,,,,TRUE,
ZRCH AS,928013405,Nei,,,,,TRUE,
